bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
P_F,P,F,1,1.64,0.0643977635314382,1.575602236468562,1.6,0.37
Ar_Ne,Ar,Ne,0,1.64,-0.08207215086046354,1.722072150860464,,
P_Ne,P,Ne,0,1.65,0.06523868042104639,1.584761319578954,,
Co_He,Co,He,0,1.66,0.3193933699003442,1.340606630099656,,
Te_He,Te,He,0,1.66,-0.03641401643751591,1.696414016437516,,
Pt_H,Pt,H,1,1.67,0.2226610665653763,1.447338933434624,1.4,0.37
Au_H,Au,H,1,1.67,0.2552703834528534,1.414729616547147,1.37,0.37
Cr_He,Cr,He,0,1.67,0.2754817811600727,1.394518218839927,,
Pd_He,Pd,He,0,1.67,0.2701690851456894,1.39983091485431,,
Sn_He,Sn,He,0,1.67,-0.000390629636693951,1.670390629636694,,
Sb_He,Sb,He,0,1.67,-0.006653240225744261,1.676653240225744,,
I_He,I,He,0,1.67,0.02273441552115546,1.647265584478844,,
Be_N,Be,N,1,1.67,0.1885814386426587,1.481418561357341,1.5,0.37
Xe_He,Xe,He,0,1.68,0.009127834592733197,1.670872165407267,,
Po_He,Po,He,0,1.68,-0.2194151489122799,1.89941514891228,,
B_B,B,B,1,1.68,0.2514203171885875,1.428579682811412,1.402,0.37
Cl_O,Cl,O,1,1.68,0.01756696100485494,1.662433038995145,1.677,0.37
Si_F,Si,F,1,1.68,0.1081185590120097,1.57188144098799,1.58,0.37
Co_H,Co,H,1,1.69,0.2294678820124249,1.460532117987575,1.44,0.37
Te_H,Te,H,1,1.69,-0.09995538314952485,1.789955383149525,1.83,0.37
Mg_He,Mg,He,0,1.69,0.2723967990262195,1.41760320097378,,
Ir_He,Ir,He,0,1.69,0.09744408640293348,1.592555913597066,,
Be_C,Be,C,1,1.69,0.1842186852564756,1.505781314743524,,
Si_Ne,Si,Ne,0,1.69,0.1089594759016179,1.581040524098382,,
Cr_H,Cr,H,1,1.7,0.1773029493609152,1.522697050639085,1.52,0.37
Pd_H,Pd,H,1,1.7,0.2439556417295027,1.456044358270497,1.47,0.37
Sn_H,Sn,H,1,1.7,-0.1059590337640647,1.805959033764065,1.85,0.37
Sb_H,Sb,H,1,1.7,-0.101018871934174,1.801018871934174,1.77,0.37
I_H,I,H,1,1.7,-0.01669776549121721,1.716697765491217,,
Fe_He,Fe,He,0,1.7,0.3304859599497793,1.369514040050221,,
Rh_He,Rh,He,0,1.7,0.2612306750333539,1.438769324966646,,
In_He,In,He,0,1.7,0.09046695241895358,1.609533047581046,,
Xe_H,Xe,H,0,1.71,-0.04274837306667811,1.752748373066678,,
Po_H,Po,H,1,1.71,-0.214493683626217,1.924493683626217,,
S_O,S,O,1,1.71,0.05428200229833288,1.655717997701667,1.634,0.37
Mg_H,Mg,H,1,1.72,0.1906624470822382,1.529337552917762,1.53,0.37
Ir_H,Ir,H,1,1.72,8.256752640795062e-05,1.719917432473592,1.76,0.37
Cd_He,Cd,He,0,1.72,0.1762018090802495,1.54379819091975,,
Os_He,Os,He,0,1.72,0.225102906131224,1.494897093868776,,
Ar_O,Ar,O,0,1.72,-0.06591316265586811,1.785913162655868,,
Fe_H,Fe,H,1,1.73,0.2340662924010486,1.495933707598951,1.53,0.37
Rh_H,Rh,H,1,1.73,0.1718505011969712,1.558149498803029,1.55,0.37
In_H,In,H,1,1.73,-0.004125749952612279,1.734125749952612,1.72,0.37
Ag_He,Ag,He,0,1.73,0.2787126728165168,1.451287327183483,,
Tl_He,Tl,He,0,1.73,-0.09818561308230078,1.828185613082301,,
Cl_N,Cl,N,1,1.73,-0.01227374237324202,1.742273742373242,1.775,0.37
P_O,P,O,1,1.73,0.08358299952607384,1.646417000473926,1.612,0.3699999999999999
Kr_F,Kr,F,0,1.73,-0.1176801874510594,1.847680187451059,1.88,0.37
Ru_He,Ru,He,0,1.74,0.2692735223794084,1.470726477620591,,
Pb_He,Pb,He,0,1.74,-0.05791423277519586,1.797914232775196,,
Kr_Ne,Kr,Ne,0,1.74,-0.1168392705614512,1.856839270561451,,
Cd_H,Cd,H,1,1.75,0.1065382667151716,1.643461733284828,1.66,0.37
Os_H,Os,H,1,1.75,0.13266430202295,1.61733569797705,,
Tc_He,Tc,He,0,1.75,0.2647684665706327,1.485231533429367,,
C_Cl,C,Cl,1,1.75,8.753958900287184e-05,1.749912460410997,1.76,0.37
Ag_H,Ag,H,1,1.76,0.255551212404119,1.504448787595881,1.5,0.37
Tl_H,Tl,H,1,1.76,-0.2088409656417179,1.968840965641718,2.05,0.37
