bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
Li_Li,Li,Li,0,2.56,0.3239987176566452,2.236001282343355,,
Ti_Be,Ti,Be,0,2.56,0.3712407803354764,2.188759219664524,,
Y_O,Y,O,1,2.56,0.5301590257535717,2.029840974246429,2.0165,0.37
Tm_O,Tm,O,1,2.56,0.5622343392419458,1.997765660758054,1.984,0.37
Np_O,Np,O,1,2.56,0.4570226035072178,2.102977396492782,2.18,0.37
Pm_F,Pm,F,1,2.56,0.5584929858640043,2.001507014135996,,
Sm_Ne,Sm,Ne,0,2.56,0.5559851714352679,2.004014828564732,,
Eu_Ne,Eu,Ne,0,2.56,0.5617601232682174,1.998239876731783,,
Ag_Si,Ag,Si,1,2.56,0.3794427099015843,2.180557290098416,,
Tl_Si,Tl,Si,1,2.56,-0.02676696884487995,2.58676696884488,,
Re_S,Re,S,1,2.56,0.2187749824059476,2.341225017594053,2.37,0.37
Mo_Cl,Mo,Cl,1,2.56,0.2986316748642858,2.261368325135714,2.28,0.37
Mn_Ar,Mn,Ar,0,2.56,0.3849133295788866,2.175086670421114,,
At_Ar,At,Ar,0,2.56,-0.1074491042495198,2.66744910424952,,
Rn_Ar,Rn,Ar,0,2.56,0.002640325894257334,2.557359674105743,,
Cu_Ni,Cu,Ni,0,2.56,0.4686867476407086,2.091313252359291,,
Hg_Ni,Hg,Ni,0,2.56,0.05796876956829361,2.502031230431706,,
Pt_Ge,Pt,Ge,1,2.56,0.3123740683847169,2.247625931615283,,
Au_Ge,Au,Ge,1,2.56,0.3350631095112772,2.224936890488723,,
Pt_Se,Pt,Se,1,2.56,0.3432828811057926,2.216717118894207,2.19,0.37
Au_Se,Au,Se,1,2.56,0.3636724213116093,2.196327578688391,2.18,0.37
Pt_Br,Pt,Br,1,2.56,0.369186767869279,2.190813232130721,2.18,0.37
Au_Br,Au,Br,1,2.56,0.3801454403075668,2.179854559692433,2.12,0.37
Xe_Kr,Xe,Kr,0,2.56,0.1087549550108837,2.451245044989116,,
Po_Kr,Po,Kr,0,2.56,-0.06821054543352179,2.628210545433522,,
Pa_F,Pa,F,1,2.57,0.5305055304563475,2.039494469543652,2.04,0.37
Pm_Ne,Pm,Ne,0,2.57,0.5560246956434141,2.013975304356586,,
Mg_Kr,Mg,Kr,0,2.57,0.3551154980041669,2.214884501995833,,
Al_Pt,Al,Pt,0,2.57,0.2195963409951364,2.350403659004864,,
Al_Au,Al,Au,0,2.57,0.2470508740411634,2.322949125958837,,
Ru_Si,Ru,Si,1,2.57,0.3108802736468361,2.259119726353164,,
Pb_Si,Pb,Si,1,2.57,0.02174069438717219,2.548259305612828,,
Mn_P,Mn,P,1,2.57,0.2970887539184326,2.272911246081568,2.24,0.37
At_P,At,P,1,2.57,-0.134063927507122,2.704063927507122,,
P_Rn,P,Rn,0,2.57,0.06960229755557623,2.500397702444424,,
Re_Ar,Re,Ar,0,2.57,0.2623340098805569,2.307665990119443,,
Co_As,Co,As,1,2.57,0.2863077690959106,2.283692230904089,2.28,0.37
Te_As,Te,As,1,2.57,-0.02340261621669865,2.593402616216698,2.625,0.37
Ir_Kr,Ir,Kr,0,2.57,0.1861765800583629,2.383823419941637,,
W_Be,W,Be,0,2.58,0.283949003758346,2.296050996241654,,
Yb_N,Yb,N,1,2.58,0.4861620630730561,2.093837936926944,2.092,0.3699999999999999
Lu_N,Lu,N,1,2.58,0.491911938130779,2.088088061869221,2.078,0.37
Pu_N,Pu,N,1,2.58,0.3969310834960267,2.183068916503973,,
Dy_O,Dy,O,1,2.58,0.5520500487010314,2.027949951298969,2.003,0.37
Ho_O,Ho,O,1,2.58,0.5618787276169444,2.018121272383055,2.0085,0.37
Nd_F,Nd,F,1,2.58,0.5592559609983854,2.020744039001614,2.008,0.37
Pa_Ne,Pa,Ne,0,2.58,0.5280372402357572,2.051962759764243,,
Tc_Si,Tc,Si,1,2.58,0.3191701319641426,2.260829868035858,,
Re_P,Re,P,1,2.58,0.1544154306136389,2.425584569386361,2.46,0.37
V_S,V,S,1,2.58,0.3521855521034652,2.227814447896535,2.2055,0.37
Cr_As,Cr,As,1,2.58,0.2366831244636052,2.343316875536395,2.34,0.37
Fe_Kr,Fe,Kr,0,2.58,0.3931187183386045,2.186881281661396,,
Co_Ge,Co,Ge,1,2.58,0.3187988161338555,2.261201183866145,,
Co_Se,Co,Se,1,2.58,0.3381814175105384,2.241818582489461,2.24,0.37
Co_Br,Co,Br,1,2.58,0.3870397656462702,2.19296023435373,2.18,0.37
Pt_Zn,Pt,Zn,0,2.58,0.3249603965780701,2.25503960342193,,
Au_Zn,Au,Zn,0,2.58,0.3528921315527116,2.227107868447288,,
Pt_Ga,Pt,Ga,0,2.58,0.3541111230534086,2.225888876946591,,
Au_Ga,Au,Ga,0,2.58,0.3779571806285272,2.202042819371473,,
Te_Ge,Te,Ge,1,2.58,0.0348923271994514,2.545107672800549,2.56,0.37
As_Pd,As,Pd,1,2.58,0.2655520149628897,2.31444798503711,2.3,0.37
Sn_As,Sn,As,1,2.58,-0.01550180514289629,2.595501805142896,2.6025,0.37
Sb_As,Sb,As,1,2.58,-0.01767627250570702,2.597676272505707,2.6,0.37
I_As,I,As,1,2.58,0.02652644948920496,2.553473550510795,2.58,0.37
Te_Se,Te,Se,1,2.58,0.007868902903818809,2.572131097096181,2.54,0.37
Te_Br,Te,Br,1,2.58,0.04743883203469257,2.532561167965308,2.53,0.37
Rh_Kr,Rh,Kr,0,2.58,0.3377364802708838,2.242263519729116,,
In_Kr,In,Kr,0,2.58,0.2060613529570315,2.373938647042968,,
Zr_B,Zr,B,1,2.59,0.4062146854973699,2.18378531450263,,
Hf_B,Hf,B,1,2.59,0.4098206653764509,2.180179334623549,,
Nd_Ne,Nd,Ne,0,2.59,0.56006633145917,2.02993366854083,,
Al_Co,Al,Co,0,2.59,0.1631318974624096,2.42686810253759,,
Al_Te,Al,Te,1,2.59,0.1187258007552924,2.471274199244708,2.48,0.37
Bi_Si,Bi,Si,1,2.59,0.02017091247892983,2.56982908752107,,
Mo_S,Mo,S,1,2.59,0.2612668312603983,2.328733168739602,2.301,0.37
V_Ar,V,Ar,0,2.59,0.4028695608553567,2.187130439144643,,
Cr_Ge,Cr,Ge,1,2.59,0.259011515385226,2.330988484614774,,
Cr_Se,Cr,Se,1,2.59,0.2879193473002577,2.302080652699742,2.29,0.37
Cr_Br,Cr,Br,1,2.59,0.3373203090766636,2.252679690923336,2.26,0.37
Ge_Pd,Ge,Pd,1,2.59,0.2201073092420663,2.369892690757934,,
Sn_Ge,Sn,Ge,1,2.59,0.03619586266910979,2.55380413733089,,
Sb_Ge,Sb,Ge,1,2.59,0.03844797264631644,2.551552027353683,,
Ge_I,Ge,I,1,2.59,0.08789021906121963,2.50210978093878,2.5,0.37
As_Xe,As,Xe,0,2.59,0.07368109329728523,2.516318906702715,,
Po_As,Po,As,1,2.59,-0.1367275462518887,2.726727546251889,,
Pd_Se,Pd,Se,1,2.59,0.3617108547499936,2.228289145250006,2.22,0.37
Sn_Se,Sn,Se,1,2.59,0.04006785516942335,2.549932144830577,2.53,0.3699999999999999
Sb_Se,Sb,Se,1,2.59,0.03306981304635104,2.556930186953649,2.57,0.37
I_Se,I,Se,1,2.59,0.05623311364479905,2.533766886355201,2.54,0.37
Pd_Br,Pd,Br,1,2.59,0.3850576666595523,2.204942333340448,2.19,0.37
Sn_Br,Sn,Br,1,2.59,0.09514599024550574,2.494854009754494,2.498,0.3699999999999999
Sb_Br,Sb,Br,1,2.59,0.08995458570500683,2.500045414294993,2.5,0.37
I_Br,I,Br,1,2.59,0.08382321532095569,2.506176784679044,,
Li_Cu,Li,Cu,0,2.6,0.3840862939125425,2.215913706087457,,
Li_Hg,Li,Hg,0,2.6,0.3957602354785736,2.204239764521426,,
Nb_Be,Nb,Be,0,2.6,0.3171343416280969,2.282865658371903,,
Ca_B,Ca,B,1,2.6,0.3996584488418577,2.200341551158143,,
Yb_C,Yb,C,1,2.6,0.4965725219399642,2.103427478060036,,
Lu_C,Lu,C,1,2.6,0.4983127357240594,2.101687264275941,,
Pu_C,Pu,C,1,2.6,0.3997193170797536,2.200280682920246,,
Er_N,Er,N,1,2.6,0.4782386070756299,2.12176139292437,2.123,0.37
Tb_O,Tb,O,1,2.6,0.5573037965372667,2.042696203462733,2.031333333333333,0.3699999999999999
K_F,K,F,1,2.6,0.5827634449829723,2.017236555017027,1.992,0.37
Pr_F,Pr,F,1,2.6,0.5660571937577425,2.033942806242257,2.022,0.37
Mg_As,Mg,As,1,2.6,0.2446992197955848,2.355300780204415,2.38,0.37
Cr_Al,Cr,Al,0,2.6,0.2866950082767504,2.313304991723249,,
Al_Pd,Al,Pd,0,2.6,0.2848730459567512,2.315126954043249,,
Al_Sn,Al,Sn,0,2.6,0.2195542005974695,2.38044579940253,,
Al_Sb,Al,Sb,1,2.6,0.1928911768769035,2.407108823123096,,
Al_I,Al,I,1,2.6,0.1935507786976815,2.406449221302318,2.41,0.37
V_P,V,P,1,2.6,0.2794571838601183,2.320542816139882,2.31,0.37
Mo_Ar,Mo,Ar,0,2.6,0.3129505170289894,2.287049482971011,,
Zn_Co,Zn,Co,0,2.6,0.2123526315630009,2.387647368436999,,
Co_Ga,Co,Ga,0,2.6,0.3744669863499807,2.225533013650019,,
Pt_Ni,Pt,Ni,0,2.6,0.3181907347703594,2.281809265229641,,
Au_Ni,Au,Ni,0,2.6,0.3591629795202345,2.240837020479765,,
Zn_Te,Zn,Te,1,2.6,0.1697705809285697,2.43022941907143,2.45,0.37
Ga_Te,Ga,Te,1,2.6,0.0645345955413057,2.535465404458694,2.54,0.37
Ge_Xe,Ge,Xe,0,2.6,0.1033715910141984,2.496628408985801,,
Po_Ge,Po,Ge,1,2.6,-0.07642839450077632,2.676428394500776,,
Ir_As,Ir,As,1,2.6,0.08037804506663904,2.519621954933361,2.54,0.37
Xe_Se,Xe,Se,0,2.6,0.04116630031130375,2.558833699688696,,
Po_Se,Po,Se,1,2.6,-0.1178759321989486,2.717875932198948,,
Xe_Br,Xe,Br,0,2.6,0.0842828768151754,2.515717123184824,,
Po_Br,Po,Br,1,2.6,-0.07325682736786293,2.673256827367863,,
Cd_Kr,Cd,Kr,0,2.6,0.2758101507111362,2.324189849288863,,
Os_Kr,Os,Kr,0,2.6,0.3048872469644632,2.295112753035537,,
Y_N,Y,N,1,2.61,0.4598511303036849,2.150148869696315,2.17,0.37
Tm_N,Tm,N,1,2.61,0.4962513136245031,2.113748686375497,2.14,0.37
Np_N,Np,N,1,2.61,0.4104083706620628,2.199591629337937,,
Sr_O,Sr,O,1,2.61,0.5056074701008422,2.104392529899158,2.104,0.37
Ce_F,Ce,F,1,2.61,0.5581157999681572,2.051884200031843,2.094,0.3699999999999999
K_Ne,K,Ne,0,2.61,0.580693005950351,2.029306994049649,,
Pr_Ne,Pr,Ne,0,2.61,0.5635889035371522,2.046411096462847,,
Mg_Ge,Mg,Ge,1,2.61,0.2634397938754537,2.346560206124546,,
Mg_Se,Mg,Se,1,2.61,0.2989795529642924,2.311020447035708,2.32,0.37
Mg_Br,Mg,Br,1,2.61,0.3537299431844639,2.256270056815536,2.28,0.37
Al_Xe,Al,Xe,0,2.61,0.2022150718418333,2.407784928158167,,
Al_Po,Al,Po,1,2.61,0.1470123154038344,2.462987684596166,,
Mn_Si,Mn,Si,1,2.61,0.4031506792912239,2.206849320708776,,
Si_At,Si,At,1,2.61,0.09839873238856506,2.511601267611435,,
Si_Rn,Si,Rn,0,2.61,0.09191652250661242,2.518083477493388,,
Mo_P,Mo,P,1,2.61,0.1933970508210219,2.416602949178978,2.44,0.37
Cr_Zn,Cr,Zn,0,2.61,0.2897520423916067,2.320247957608393,,
Cr_Ga,Cr,Ga,0,2.61,0.3128719732702533,2.297128026729747,,
Fe_As,Fe,As,1,2.61,0.2945572210248692,2.315442778975131,2.35,0.37
Zn_Pd,Zn,Pd,0,2.61,0.304649816022238,2.305350183977762,,
Sn_Zn,Sn,Zn,0,2.61,0.02476695717127164,2.585233042828728,,
Zn_Sb,Zn,Sb,1,2.61,0.2425207309213329,2.367479269078667,,
Zn_I,Zn,I,1,2.61,0.2447441844751705,2.365255815524829,2.36,0.37
Ga_Pd,Ga,Pd,0,2.61,0.2524440084542799,2.35755599154572,,
Sn_Ga,Sn,Ga,0,2.61,0.08433180611069971,2.5256681938893,,
Sb_Ga,Sb,Ga,1,2.61,0.08825190468283353,2.521748095317166,,
Ga_I,Ga,I,1,2.61,0.1390448678197218,2.470955132180278,2.45,0.37
Ir_Ge,Ir,Ge,1,2.61,0.1122273242643609,2.497772675735639,,
Rh_As,Rh,As,1,2.61,0.2482068158701954,2.361793184129804,2.37,0.37
In_As,In,As,1,2.61,0.08035066973188237,2.529649330268117,2.51,0.37
Ir_Se,Ir,Se,1,2.61,0.1323738727994434,2.477626127200557,2.51,0.37
Ir_Br,Ir,Br,1,2.61,0.1864628297877543,2.423537170212246,2.45,0.37
Ag_Kr,Ag,Kr,0,2.61,0.3815665121598946,2.228433487840105,,
Tl_Kr,Tl,Kr,0,2.61,0.02290863822314138,2.587091361776858,,
Na_Be,Na,Be,0,2.62,0.384680834543687,2.235319165456313,,
Er_C,Er,C,1,2.62,0.4798609781428873,2.140139021857113,,
Gd_O,Gd,O,1,2.62,0.5521536201342613,2.067846379865739,2.048,0.37
U_O,U,O,1,2.62,0.5312506327782991,2.088749367221701,2.087333333333333,0.3699999999999999
Ce_Ne,Ce,Ne,0,2.62,0.5556475097475669,2.064352490252433,,
Mg_Al,Mg,Al,0,2.62,0.2885683175865979,2.331431682413402,,
Al_Ir,Al,Ir,0,2.62,0.2402846774259888,2.379715322574012,,
Re_Si,Re,Si,1,2.62,0.2437108624593318,2.376289137540669,,
Ti_Cl,Ti,Cl,1,2.62,0.4335857324313079,2.186414267568692,2.181333333333333,0.3699999999999999
Fe_Ge,Fe,Ge,1,2.62,0.3150186832739358,2.304981316726064,,
Fe_Se,Fe,Se,1,2.62,0.3483579349974399,2.27164206500256,2.28,0.37
Fe_Br,Fe,Br,1,2.62,0.3986598716890264,2.221340128310973,2.233333333333333,0.3699999999999999
Co_Ni,Co,Ni,0,2.62,0.3382559057639177,2.281744094236082,,
Ni_Te,Ni,Te,1,2.62,0.2094212110155433,2.410578788984457,2.43,0.37
Zn_Xe,Zn,Xe,0,2.62,0.2492539316676551,2.370746068332345,,
Zn_Po,Zn,Po,1,2.62,0.206341406596241,2.413658593403759,,
Ga_Xe,Ga,Xe,0,2.62,0.1545407206958915,2.465459279304109,,
Ga_Po,Ga,Po,1,2.62,0.08964102959476106,2.530358970405239,,
Rh_Ge,Rh,Ge,1,2.62,0.2741995700763527,2.345800429923647,,
In_Ge,In,Ge,1,2.62,0.1176361967069375,2.502363803293063,,
Rh_Se,Rh,Se,1,2.62,0.2976215668439282,2.322378433156072,2.33,0.37
In_Se,In,Se,1,2.62,0.1399178287964276,2.480082171203573,2.47,0.37
Rh_Br,Rh,Br,1,2.62,0.3441445992557965,2.275855400744204,2.25,0.37
In_Br,In,Br,1,2.62,0.192202084916666,2.427797915083334,2.41,0.37
Ru_Kr,Ru,Kr,0,2.62,0.3466916945430619,2.273308305456938,,
Pb_Kr,Pb,Kr,0,2.62,0.0669612399161402,2.55303876008386,,
Y_C,Y,C,1,2.63,0.4558665254361258,2.174133474563874,,
Tm_C,Tm,C,1,2.63,0.4974648453538081,2.132535154646192,,
Np_C,Np,C,1,2.63,0.4131966042457895,2.21680339575421,,
Dy_N,Dy,N,1,2.63,0.4866573853389117,2.143342614661088,2.152,0.37
Ho_N,Ho,N,1,2.63,0.4911295911044206,2.138870408895579,2.149,0.37
Th_F,Th,F,1,2.63,0.5418457059870704,2.088154294012929,2.068,0.37
Mg_Zn,Mg,Zn,0,2.63,0.2989922245210078,2.331007775478992,,
Mg_Ga,Mg,Ga,0,2.63,0.3170024728538116,2.312997527146188,,
Al_Fe,Al,Fe,0,2.63,0.2343448789120369,2.395655121087963,,
Rh_Al,Rh,Al,0,2.63,0.297820289484631,2.332179710515369,,
Al_In,Al,In,0,2.63,0.1903091342526741,2.439690865747326,,
Cr_Ni,Cr,Ni,0,2.63,0.2776870174877434,2.352312982512256,,
Ni_Pd,Ni,Pd,0,2.63,0.3510276154831518,2.278972384516848,,
Sn_Ni,Sn,Ni,0,2.63,0.02990696457164538,2.600093035428355,,
Sb_Ni,Sb,Ni,1,2.63,0.03108388883484126,2.598916111165159,,
Ni_I,Ni,I,1,2.63,0.295084390163282,2.334915609836718,2.34,0.37
Ir_Zn,Ir,Zn,0,2.63,0.1290134603395521,2.500986539660448,,
Ir_Ga,Ir,Ga,0,2.63,0.1584433618402435,2.471556638159756,,
Cd_As,Cd,As,1,2.63,0.1883069387836728,2.441693061216327,2.43,0.37
Os_As,Os,As,1,2.63,0.2125198259925466,2.417480174007453,,
Tc_Kr,Tc,Kr,0,2.63,0.3503667821772666,2.279633217822733,,
Li_Pt,Li,Pt,0,2.64,0.3602734170766079,2.279726582923392,,
Li_Au,Li,Au,0,2.64,0.3905679652073578,2.249432034792642,,
Bk_Be,Bk,Be,0,2.64,0.2808027713295762,2.359197228670423,,
Cf_Be,Cf,Be,0,2.64,0.2777940595014562,2.362205940498543,,
Am_B,Am,B,0,2.64,0.3435667899926823,2.296433210007318,,
Sm_O,Sm,O,1,2.64,0.5518018066618029,2.088198193338197,2.0896,0.37
Eu_O,Eu,O,1,2.64,0.5593279239304052,2.080672076069595,2.09025,0.37
La_F,La,F,1,2.64,0.5622492879267174,2.077750712073282,2.08,0.37
Th_Ne,Th,Ne,0,2.64,0.5393774157664801,2.10062258423352,,
V_Si,V,Si,1,2.64,0.3738741236689375,2.266125876331063,,
W_Cl,W,Cl,1,2.64,0.3246813075883626,2.315318692411638,2.27,0.37
Fe_Zn,Fe,Zn,0,2.64,0.3518772434018024,2.288122756598197,,
Fe_Ga,Fe,Ga,0,2.64,0.3690286181774106,2.270971381822589,,
Ni_Xe,Ni,Xe,0,2.64,0.2994466148795117,2.340553385120488,,
Po_Ni,Po,Ni,1,2.64,-0.07682600805387074,2.716826008053871,,
Cu_Cu,Cu,Cu,0,2.64,0.5157141231923151,2.124285876807685,,
Hg_Cu,Hg,Cu,0,2.64,0.1265840311522966,2.513415968847704,,
Rh_Zn,Rh,Zn,0,2.64,0.2895404470503055,2.350459552949694,,
In_Zn,In,Zn,0,2.64,0.1202744453780298,2.51972555462197,,
Rh_Ga,Rh,Ga,0,2.64,0.3220003834723559,2.317999616527644,,
In_Ga,In,Ga,0,2.64,0.1618004537780573,2.478199546221942,,
Cd_Ge,Cd,Ge,1,2.64,0.2087349692899545,2.431265030710045,,
Os_Ge,Os,Ge,1,2.64,0.2304607181386109,2.409539281861389,,
Ag_As,Ag,As,1,2.64,0.3280322116021108,2.311967788397889,2.3,0.37
Tl_As,Tl,As,1,2.64,-0.1172038144326834,2.757203814432683,2.79,0.37
Cd_Se,Cd,Se,1,2.64,0.2391485629817384,2.400851437018261,2.4,0.37
Os_Se,Os,Se,1,2.64,0.2664930871822184,2.373506912817781,,
Cd_Br,Cd,Br,1,2.64,0.2802594001981981,2.359740599801802,2.342,0.37
Os_Br,Os,Br,1,2.64,0.3133981763165365,2.326601823683463,2.37,0.37
Bi_Kr,Bi,Kr,0,2.64,0.06555606436046049,2.574443935639539,,
Hg_Hg,Hg,Hg,0,2.64,0.09793911631958502,2.542060883680415,,
Cm_Be,Cm,Be,0,2.65,0.1890486018438149,2.460951398156185,,
Dy_C,Dy,C,1,2.65,0.4877569400493408,2.162243059950659,,
Ho_C,Ho,C,1,2.65,0.4917281849243905,2.158271815075609,,
Tb_N,Tb,N,1,2.65,0.4826417251548841,2.167358274845116,2.165,0.37
Pm_O,Pm,O,1,2.65,0.5522278336949489,2.097772166305051,,
La_Ne,La,Ne,0,2.65,0.559780997706127,2.090219002293873,,
Mg_Ni,Mg,Ni,0,2.65,0.2822192892271246,2.367780710772875,,
Al_Cd,Al,Cd,0,2.65,0.1737104346789009,2.476289565321099,,
Al_Os,Al,Os,0,2.65,0.2114463308733541,2.438553669126646,,
Mo_Si,Mo,Si,1,2.65,0.2767098202231005,2.3732901797769,,
Ti_S,Ti,S,1,2.65,0.393585659552774,2.256414340447226,2.24,0.37
Ir_Ni,Ir,Ni,0,2.65,0.1095825791326078,2.540417420867392,,
Ag_Ge,Ag,Ge,1,2.65,0.3398575762645115,2.310142423735488,,
Tl_Ge,Tl,Ge,1,2.65,-0.06985351554974356,2.719853515549743,,
Ru_As,Ru,As,1,2.65,0.2566394887152476,2.393360511284752,2.36,0.37
Pb_As,Pb,As,1,2.65,-0.07684637437123759,2.726846374371238,2.72,0.37
Ag_Se,Ag,Se,1,2.65,0.3761371384794663,2.273862861520533,2.26,0.37
Tl_Se,Tl,Se,1,2.65,-0.05682760642403523,2.706827606424035,2.7,0.37
Ag_Br,Ag,Br,1,2.65,0.4120939818411401,2.23790601815886,2.22,0.37
Tl_Br,Tl,Br,1,2.65,0.0002402351597545205,2.649759764840245,2.7,0.37
Li_Co,Li,Co,0,2.66,0.3416998624972223,2.318300137502778,,
Li_Te,Li,Te,1,2.66,0.3651570099470328,2.294842990052967,2.3,0.37
Sc_Be,Sc,Be,0,2.66,0.4032310471573688,2.256768952842632,,
Ta_Be,Ta,Be,0,2.66,0.3457538205213535,2.314246179478647,,
Sr_N,Sr,N,1,2.66,0.4271467224094183,2.232853277590582,2.23,0.37
Pa_O,Pa,O,1,2.66,0.5212587626422533,2.138741237357747,,
Al_Ag,Al,Ag,0,2.66,0.1661886003388235,2.493811399661177,,
Al_Tl,Al,Tl,0,2.66,0.2152873591602965,2.444712640839704,,
Nb_Cl,Nb,Cl,1,2.66,0.3712402525190085,2.288759747480992,2.253,0.37
Ti_Ar,Ti,Ar,0,2.66,0.4471608909024406,2.21283910909756,,
Mn_Kr,Mn,Kr,0,2.66,0.4146833019744444,2.245316698025556,,
Fe_Ni,Fe,Ni,0,2.66,0.3384518719398973,2.321548128060103,,
Rh_Ni,Rh,Ni,0,2.66,0.2744110876996807,2.38558891230032,,
In_Ni,In,Ni,0,2.66,0.1075610270973142,2.552438972902686,,
Cd_Zn,Cd,Zn,0,2.66,0.2223801638558232,2.437619836144177,,
Os_Zn,Os,Zn,0,2.66,0.2511183406401218,2.408881659359878,,
Cd_Ga,Cd,Ga,0,2.66,0.2554326205344286,2.404567379465572,,
Os_Ga,Os,Ga,0,2.66,0.2768008583670545,2.383199141632946,,
Ru_Ge,Ru,Ge,1,2.66,0.2807884223266756,2.379211577673324,,
Pb_Ge,Pb,Ge,1,2.66,-0.02300281894948603,2.683002818949486,,
Tc_As,Tc,As,1,2.66,0.2608198376827167,2.399180162317283,,
Ru_Se,Ru,Se,1,2.66,0.3061364832030044,2.353863516796996,2.33,0.37
Pb_Se,Pb,Se,1,2.66,-0.01674841048380588,2.676748410483806,2.67,0.37
Ru_Br,Ru,Br,1,2.66,0.3510362734221072,2.308963726577893,2.26,0.37
Pb_Br,Pb,Br,1,2.66,0.04283554820835417,2.617164451791646,2.64,0.37
At_Kr,At,Kr,0,2.66,-0.06494883135102214,2.724948831351022,,
Rn_Kr,Rn,Kr,0,2.66,0.03198473047250727,2.628015269527493,,
Li_Cr,Li,Cr,0,2.67,0.3393658313052522,2.330634168694748,,
Li_Pd,Li,Pd,0,2.67,0.4112265372273183,2.258773462772682,,
Li_Sn,Li,Sn,0,2.67,0.3811435429809513,2.288856457019048,,
Li_Sb,Li,Sb,1,2.67,0.3745678726759616,2.295432127324038,,
Li_I,Li,I,1,2.67,0.4271598636693366,2.242840136330663,2.22,0.37
Tb_C,Tb,C,1,2.67,0.4823884565724625,2.187611543427537,,
Gd_N,Gd,N,1,2.67,0.490207343582312,2.179792656417688,2.183,0.37
U_N,U,N,1,2.67,0.44962812837724,2.22037187162276,2.24,0.37
Nd_O,Nd,O,1,2.67,0.5523831122464169,2.117616887753583,2.102666666666666,0.3699999999999999
Ru_Al,Ru,Al,0,2.67,0.2960761563079807,2.373923843692019,,
Al_Pb,Al,Pb,0,2.67,0.2209525907127749,2.449047409287225,,
Ti_P,Ti,P,1,2.67,0.315469983907963,2.354530016092037,2.36,0.37
W_S,W,S,1,2.67,0.2915841172934466,2.378415882706553,2.39,0.37
Ag_Zn,Ag,Zn,0,2.67,0.3654553520385579,2.304544647961442,,
Tl_Zn,Tl,Zn,0,2.67,-0.07670958739378081,2.746709587393781,,
Ag_Ga,Ag,Ga,0,2.67,0.388316654628744,2.281683345371256,,
Tl_Ga,Tl,Ga,0,2.67,-0.02672625756934793,2.696726257569348,,
Tc_Ge,Tc,Ge,1,2.67,0.2863686006693776,2.383631399330622,,
Bi_As,Bi,As,1,2.67,-0.0754860724378335,2.745486072437834,2.72,0.37
Tc_Se,Tc,Se,1,2.67,0.3083391843937217,2.361660815606278,,
Tc_Br,Tc,Br,1,2.67,0.3507967745691322,2.319203225430868,,
Re_Kr,Re,Kr,0,2.67,0.2831275514789968,2.386872448521003,,
Li_Xe,Li,Xe,0,2.68,0.4324465584867992,2.247553441513201,,
Li_Po,Li,Po,1,2.68,0.3841730428482372,2.295826957151763,,
Sr_C,Sr,C,1,2.68,0.4234563749698256,2.256543625030174,,
Na_Cl,Na,Cl,1,2.68,0.494483778757195,2.185516221242805,2.15,0.37
Tc_Al,Tc,Al,0,2.68,0.3026841023959989,2.377315897604001,,
W_Ar,W,Ar,0,2.68,0.3367290788233203,2.34327092117668,,
Cd_Ni,Cd,Ni,0,2.68,0.2100811898311385,2.469918810168861,,
Os_Ni,Os,Ni,0,2.68,0.2362700806623713,2.443729919337629,,
Pt_Cu,Pt,Cu,0,2.68,0.3755157216733566,2.304484278326643,,
Au_Cu,Au,Cu,0,2.68,0.3986393824999725,2.281360617500027,,
Ru_Zn,Ru,Zn,0,2.68,0.294813038914687,2.385186961085313,,
Pb_Zn,Pb,Zn,0,2.68,-0.03548848303268121,2.715488483032681,,
Ru_Ga,Ru,Ga,0,2.68,0.3261206064157582,2.353879393584242,,
Pb_Ga,Pb,Ga,0,2.68,0.02183477675159651,2.658165223248403,,
Bi_Ge,Bi,Ge,1,2.68,-0.02101550631048893,2.701015506310489,,
Bi_Se,Bi,Se,1,2.68,-0.01885989214420125,2.698859892144201,2.72,0.37
Bi_Br,Bi,Br,1,2.68,0.04146594191032565,2.638534058089674,2.6085,0.37
Pt_Hg,Pt,Hg,0,2.68,0.340741526946406,2.339258473053594,,
Au_Hg,Au,Hg,0,2.68,0.3731144018454097,2.306885598154591,,
Li_Mg,Li,Mg,0,2.69,0.3247483641745774,2.365251635825423,,
Li_Ir,Li,Ir,0,2.69,0.3810415463912508,2.308958453608749,,
Gd_C,Gd,C,1,2.69,0.4873544262152746,2.202645573784725,,
U_C,U,C,1,2.69,0.4475065751980191,2.242493424801981,,
Sm_N,Sm,N,1,2.69,0.4796304074328516,2.210369592567148,2.226,0.3699999999999999
Eu_N,Eu,N,1,2.69,0.4861883523462726,2.203811647653728,2.187,0.3699999999999999
K_O,K,O,1,2.69,0.5787233109394229,2.111276689060577,2.10225,0.37
Pr_O,Pr,O,1,2.69,0.5621976224608709,2.127802377539129,2.118,0.37
Al_Bi,Al,Bi,0,2.69,0.1928911768769035,2.497108823123097,,
W_P,W,P,1,2.69,0.2283579365129839,2.461642063487016,2.46,0.37
Nb_S,Nb,S,1,2.69,0.3330163447219217,2.356983655278078,2.37,0.37
V_Kr,V,Kr,0,2.69,0.4162241932249638,2.273775806775036,,
Mn_As,Mn,As,1,2.69,0.3313320998191851,2.358667900180815,2.36,0.37
Ag_Ni,Ag,Ni,0,2.69,0.3585207154283148,2.331479284571685,,
